,pIC50
264,1.605482149368853
265,1.4707136121037663
266,1.3160673690134486
267,1.3621454076161386
268,1.4354760625018559
269,2.664639155452931
270,2.30693944215854
271,1.418998482677544
272,1.3284254771935369
273,1.494850021680094
274,1.4807011511411936
275,1.4210916014766204
276,1.363355745776019
277,1.3874460006547267
278,1.3297854692858342
279,2.274614426910444
280,1.23482562181595
281,1.314256408856386
282,1.363358097234976
283,1.740779017767273
284,1.6294554728575181
285,2.5796612912136263
286,1.47889687016642
287,1.4210916014766204
288,3.445122632239743
289,2.966106987790664
290,3.4844182930302123
291,2.2581204425936567
292,1.3129570950796887
293,1.424666272771935
294,2.010128155802767
295,1.328428025593399
296,2.8386986351406516
297,1.3934945881000953
298,1.3966455123910093
299,1.3034815769868349
300,1.4387741677243027
301,1.3674485249166775
302,1.3862843291332423
303,1.470289183261194
304,1.4282517582505223
305,1.3148214610057536
306,1.313523179826085
307,1.3940531028430974
308,2.339390814733101
309,1.7698972633156485
310,1.388488078165508
311,1.6433564301130748
312,1.2582675321462582
313,1.1362239751047436
314,0.8681869100699273
315,1.390212336954642
316,1.091910850068994
317,1.3284942787415834
318,2.7114107016535973
319,2.0
320,3.8060410135012126
321,2.0
322,4.107348974607729
323,2.3010299956639813
324,2.0
325,2.6020599913279625
326,2.3010299956639813
327,2.0
328,2.0
329,2.0
330,2.0
331,2.0
332,2.0
333,2.0
334,2.0
335,2.0
336,2.0
337,2.0
338,2.0
339,2.0
340,2.0
341,2.0
342,2.0
343,2.0
344,2.9030899869919438
345,2.0
346,2.0
347,3.505149978319906
348,2.9030899869919438
349,2.3010299956639813
350,3.505149978319906
351,2.0
352,3.2041199826559246
353,2.6020599913279625
354,2.0
355,2.0
356,2.0
357,2.3010299956639813
358,3.505149978319906
359,2.0
360,2.0
361,2.0
362,4.107348974607729
363,2.0
364,2.3010299956639813
365,2.3010299956639813
366,2.0
367,2.0
368,2.0
369,3.2041199826559246
370,2.3010299956639813
371,2.0
372,2.6020599913279625
373,2.9030899869919438
374,2.0
375,2.0
376,2.0
377,3.505149978319906
378,2.0
379,2.0
